Time,Oklahoma City,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
10:07.0,Defensive rebound by V. Micić,35-39, ,,2,39,35,4,833.0
9:55.0,C. Holmgren makes 2-pt layup from 4 ft (assist by J. Williams),37-39, ,,2,39,37,2,845.0
9:43.0, ,37-41,B. Adebayo makes 2-pt dunk from 5 ft (assist by K. Love),,2,41,37,4,857.0
9:20.0,A. Wiggins makes 2-pt jump shot from 6 ft (assist by J. Williams),39-41, ,,2,41,39,2,880.0
9:06.0, ,39-44,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Jaquez),,2,44,39,5,894.0
8:45.0,C. Holmgren makes 2-pt layup from 4 ft (assist by J. Williams),41-44, ,,2,44,41,3,915.0
8:38.0, ,41-46,B. Adebayo makes 2-pt jump shot from 10 ft,,2,46,41,5,922.0
8:21.0,J. Williams misses 2-pt jump shot from 20 ft,41-46, ,,2,46,41,5,939.0
8:19.0, ,41-46,Defensive rebound by K. Love,,2,46,41,5,941.0
8:06.0, ,41-46,B. Adebayo misses 2-pt layup from 6 ft,,2,46,41,5,954.0
8:03.0,Defensive rebound by J. Williams,41-46, ,,2,46,41,5,957.0
8:03.0,Shooting foul by J. Richardson (drawn by L. Dort),41-46, ,,2,46,41,5,957.0
8:03.0,L. Dort misses free throw 1 of 2,41-46, ,,2,46,41,5,957.0
8:03.0,Offensive rebound by Team,41-46, ,,2,46,41,5,957.0
8:03.0, ,41-46,N. Jović enters the game for K. Love,,2,46,41,5,957.0
8:03.0,L. Dort makes free throw 2 of 2,42-46, ,,2,46,42,4,957.0
7:53.0, ,42-46,Shooting foul by L. Dort (drawn by J. Jaquez),,2,46,42,4,967.0
7:53.0, ,42-46,J. Jaquez misses free throw 1 of 2,,2,46,42,4,967.0
7:53.0, ,42-46,Offensive rebound by Team,,2,46,42,4,967.0
7:53.0, ,42-47,J. Jaquez makes free throw 2 of 2,,2,47,42,5,967.0
7:41.0,V. Micić makes 2-pt jump shot from 6 ft,44-47, ,,2,47,44,3,979.0
7:19.0, ,44-50,J. Richardson makes 3-pt jump shot from 25 ft (assist by N. Jović),,2,50,44,6,1001.0
7:12.0,A. Wiggins misses 2-pt jump shot from 11 ft,44-50, ,,2,50,44,6,1008.0
7:09.0, ,44-50,Defensive rebound by J. Richardson,,2,50,44,6,1011.0
7:06.0, ,44-53,N. Jović makes 3-pt jump shot from 28 ft (assist by J. Richardson),,2,53,44,9,1014.0
7:06.0,Oklahoma City full timeout,44-53, ,,2,53,44,9,1014.0
7:06.0,J. Giddey enters the game for C. Holmgren,44-53, ,,2,53,44,9,1014.0
7:06.0,J. Williams enters the game for A. Wiggins,44-53, ,,2,53,44,9,1014.0
6:43.0,J. Williams makes 3-pt jump shot from 25 ft (assist by J. Williams),47-53, ,,2,53,47,6,1037.0
6:24.0, ,47-53,Turnover by D. Robinson (bad pass),,2,53,47,6,1056.0
6:24.0, ,47-53,T. Herro enters the game for J. Jaquez,,2,53,47,6,1056.0
6:24.0, ,47-53,H. Highsmith enters the game for J. Richardson,,2,53,47,6,1056.0
6:10.0,L. Dort makes 3-pt jump shot from 27 ft (assist by J. Giddey),50-53, ,,2,53,50,3,1070.0
5:59.0, ,50-53,Personal foul by L. Dort (drawn by B. Adebayo),,2,53,50,3,1081.0
5:45.0, ,50-55,H. Highsmith makes 2-pt dunk from 5 ft (assist by B. Adebayo),,2,55,50,5,1095.0
5:28.0,V. Micić makes 2-pt jump shot from 4 ft (assist by J. Williams),52-55, ,,2,55,52,3,1112.0
5:12.0, ,52-55,H. Highsmith misses 2-pt layup from 5 ft,,2,55,52,3,1128.0
5:10.0, ,52-55,Offensive rebound by H. Highsmith,,2,55,52,3,1130.0
5:07.0, ,52-55,T. Herro misses 2-pt jump shot from 18 ft,,2,55,52,3,1133.0
5:05.0, ,52-55,Offensive rebound by B. Adebayo,,2,55,52,3,1135.0
5:02.0, ,52-55,D. Robinson misses 3-pt jump shot from 23 ft,,2,55,52,3,1138.0
4:59.0,Defensive rebound by J. Giddey,52-55, ,,2,55,52,3,1141.0
4:48.0,Turnover by J. Giddey (traveling),52-55, ,,2,55,52,3,1152.0
4:48.0,I. Joe enters the game for V. Micić,52-55, ,,2,55,52,3,1152.0
4:31.0, ,52-57,T. Herro makes 2-pt jump shot from 14 ft (assist by B. Adebayo),,2,57,52,5,1169.0
4:18.0,L. Dort misses 3-pt jump shot from 23 ft,52-57, ,,2,57,52,5,1182.0
4:15.0, ,52-57,Defensive rebound by N. Jović,,2,57,52,5,1185.0
4:11.0, ,52-59,N. Jović makes 2-pt layup from 5 ft (assist by B. Adebayo),,2,59,52,7,1189.0
3:53.0,I. Joe makes 3-pt jump shot from 25 ft (assist by J. Williams),55-59, ,,2,59,55,4,1207.0
3:36.0, ,55-59,T. Herro misses 2-pt jump shot from 7 ft,,2,59,55,4,1224.0
3:36.0, ,55-59,Offensive rebound by Team,,2,59,55,4,1224.0
3:36.0,S. Gilgeous-Alexander enters the game for L. Dort,55-59, ,,2,59,55,4,1224.0
3:36.0,C. Holmgren enters the game for J. Giddey,55-59, ,,2,59,55,4,1224.0
3:36.0,C. Wallace enters the game for J. Williams,55-59, ,,2,59,55,4,1224.0
3:36.0,K. Williams enters the game for J. Williams,55-59, ,,2,59,55,4,1224.0
3:36.0, ,55-59,K. Love enters the game for B. Adebayo,,2,59,55,4,1224.0
3:33.0, ,55-59,Personal foul by C. Wallace (drawn by K. Love),,2,59,55,4,1227.0
3:23.0, ,55-61,N. Jović makes 2-pt layup from 6 ft (assist by T. Herro),,2,61,55,6,1237.0
3:12.0,C. Holmgren misses 3-pt jump shot from 27 ft,55-61, ,,2,61,55,6,1248.0
3:07.0,Offensive rebound by I. Joe,55-61, ,,2,61,55,6,1253.0
2:59.0,Shooting foul by N. Jović (drawn by S. Gilgeous-Alexander),55-61, ,,2,61,55,6,1261.0
2:59.0, ,55-61,Miami full timeout,,2,61,55,6,1261.0
2:59.0,S. Gilgeous-Alexander misses free throw 1 of 2,55-61, ,,2,61,55,6,1261.0
2:59.0,Offensive rebound by Team,55-61, ,,2,61,55,6,1261.0
2:59.0,S. Gilgeous-Alexander makes free throw 2 of 2,56-61, ,,2,61,56,5,1261.0
2:43.0, ,56-61,K. Love misses 3-pt jump shot from 25 ft,,2,61,56,5,1277.0
2:41.0,Defensive rebound by C. Holmgren,56-61, ,,2,61,56,5,1279.0
2:29.0,I. Joe makes 3-pt jump shot from 25 ft (assist by C. Holmgren),59-61, ,,2,61,59,2,1291.0
2:13.0, ,59-61,D. Robinson misses 3-pt jump shot from 25 ft,,2,61,59,2,1307.0
2:11.0,Defensive rebound by C. Holmgren,59-61, ,,2,61,59,2,1309.0
1:51.0,Turnover by C. Wallace (bad pass; steal by D. Robinson),59-61, ,,2,61,59,2,1329.0
1:37.0, ,59-61,Shooting foul by S. Gilgeous-Alexander (drawn by N. Jović),,2,61,59,2,1343.0
1:37.0,J. Williams enters the game for K. Williams,59-61, ,,2,61,59,2,1343.0
1:37.0, ,59-61,B. Adebayo enters the game for K. Love,,2,61,59,2,1343.0
1:37.0, ,59-61,J. Jaquez enters the game for D. Robinson,,2,61,59,2,1343.0
1:37.0, ,59-62,N. Jović makes free throw 1 of 2,,2,62,59,3,1343.0
1:37.0, ,59-63,N. Jović makes free throw 2 of 2,,2,63,59,4,1343.0
1:26.0,C. Wallace makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),62-63, ,,2,63,62,1,1354.0
1:16.0, ,62-63,Shooting foul by C. Wallace (drawn by T. Herro),,2,63,62,1,1364.0
1:16.0, ,62-64,T. Herro makes free throw 1 of 2,,2,64,62,2,1364.0
1:16.0, ,62-64,T. Herro misses free throw 2 of 2,,2,64,62,2,1364.0
1:13.0,Defensive rebound by C. Holmgren,62-64, ,,2,64,62,2,1367.0
1:00.0,I. Joe makes 3-pt jump shot from 26 ft (assist by J. Williams),65-64, ,Lead change,2,64,65,-1,1380.0
0:49.0, ,65-64,T. Herro misses 3-pt jump shot from 27 ft,,2,64,65,-1,1391.0
0:47.0, ,65-64,Offensive rebound by B. Adebayo,,2,64,65,-1,1393.0
0:42.0, ,65-67,H. Highsmith makes 3-pt jump shot from 26 ft (assist by J. Jaquez),Lead change,2,67,65,2,1398.0
0:32.0,C. Wallace misses 3-pt jump shot from 22 ft,65-67, ,,2,67,65,2,1408.0
0:29.0, ,65-67,Defensive rebound by J. Jaquez,,2,67,65,2,1411.0
0:27.0, ,65-69,J. Jaquez makes 2-pt layup from 7 ft,,2,69,65,4,1413.0
0:09.0,Personal foul by H. Highsmith (drawn by S. Gilgeous-Alexander),65-69, ,,2,69,65,4,1431.0
0:09.0,J. Giddey enters the game for C. Wallace,65-69, ,,2,69,65,4,1431.0
0:01.0,Turnover by I. Joe (bad pass; steal by T. Herro),65-69, ,,2,69,65,4,1439.0
0:00.0,End of 2nd quarter,65-69,,,2,69,65,4,1440.0
12:00.0,Start of 3rd quarter,65-69,,,3,69,65,4,1440.0
11:38.0,C. Wallace makes 3-pt jump shot from 23 ft (assist by J. Williams),68-69, ,,3,69,68,1,1462.0
11:19.0, ,68-69,B. Adebayo misses 2-pt jump shot from 11 ft,,3,69,68,1,1481.0
11:15.0,Defensive rebound by J. Giddey,68-69, ,,3,69,68,1,1485.0
11:10.0,J. Williams misses 3-pt jump shot from 25 ft,68-69, ,,3,69,68,1,1490.0
11:07.0,Offensive rebound by C. Wallace,68-69, ,,3,69,68,1,1493.0
11:00.0,C. Wallace misses 3-pt jump shot from 25 ft,68-69, ,,3,69,68,1,1500.0
10:58.0, ,68-69,Defensive rebound by T. Herro,,3,69,68,1,1502.0
10:43.0, ,68-69,J. Jaquez misses 3-pt jump shot from 23 ft,,3,69,68,1,1517.0
10:41.0,Defensive rebound by C. Holmgren,68-69, ,,3,69,68,1,1519.0
10:34.0,C. Holmgren makes 2-pt layup from 7 ft,70-69, ,Lead change,3,69,70,-1,1526.0
10:34.0,Shooting foul by N. Jović (drawn by C. Holmgren),70-69, ,,3,69,70,-1,1526.0
10:34.0,C. Holmgren makes free throw 1 of 1,71-69, ,,3,69,71,-2,1526.0
10:26.0, ,71-69,Turnover by J. Jaquez (traveling),,3,69,71,-2,1534.0
10:16.0,J. Giddey makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),74-69, ,,3,69,74,-5,1544.0
10:00.0, ,74-69,T. Herro misses 2-pt jump shot from 6 ft (block by S. Gilgeous-Alexander),,3,69,74,-5,1560.0
9:57.0,Defensive rebound by C. Wallace,74-69, ,,3,69,74,-5,1563.0
9:46.0,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft,76-69, ,,3,69,76,-7,1574.0
9:44.0, ,76-69,Miami full timeout,,3,69,76,-7,1576.0
9:29.0, ,76-69,T. Herro misses 2-pt jump shot from 8 ft,,3,69,76,-7,1591.0
9:26.0,Defensive rebound by J. Giddey,76-69, ,,3,69,76,-7,1594.0
9:16.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,76-69, ,,3,69,76,-7,1604.0
9:14.0, ,76-69,Defensive rebound by N. Jović,,3,69,76,-7,1606.0
9:05.0, ,76-69,N. Jović misses 2-pt hook shot from 7 ft,,3,69,76,-7,1615.0
9:02.0,Defensive rebound by C. Holmgren,76-69, ,,3,69,76,-7,1618.0
8:59.0,J. Williams makes 2-pt dunk from 5 ft (assist by C. Wallace),78-69, ,,3,69,78,-9,1621.0
8:41.0, ,78-72,H. Highsmith makes 3-pt jump shot from 27 ft (assist by T. Herro),,3,72,78,-6,1639.0
8:23.0,J. Giddey misses 2-pt layup from 6 ft,78-72, ,,3,72,78,-6,1657.0
8:20.0, ,78-72,Defensive rebound by B. Adebayo,,3,72,78,-6,1660.0
8:11.0, ,78-72,T. Herro misses 2-pt layup from 3 ft,,3,72,78,-6,1669.0
8:06.0, ,78-72,Offensive rebound by B. Adebayo,,3,72,78,-6,1674.0
8:06.0, ,78-72,B. Adebayo misses 2-pt dunk at rim,,3,72,78,-6,1674.0
8:06.0,Defensive rebound by J. Giddey,78-72, ,,3,72,78,-6,1674.0
8:02.0,J. Williams makes 2-pt layup from 5 ft (assist by S. Gilgeous-Alexander),80-72, ,,3,72,80,-8,1678.0
7:46.0, ,80-72,H. Highsmith misses 3-pt jump shot from 23 ft,,3,72,80,-8,1694.0
7:43.0,Defensive rebound by J. Williams,80-72, ,,3,72,80,-8,1697.0
7:39.0,S. Gilgeous-Alexander misses 2-pt layup from 6 ft (block by B. Adebayo),80-72, ,,3,72,80,-8,1701.0
7:37.0, ,80-72,Defensive rebound by H. Highsmith,,3,72,80,-8,1703.0
7:31.0, ,80-75,N. Jović makes 3-pt jump shot from 26 ft (assist by T. Herro),,3,75,80,-5,1709.0
7:17.0,C. Holmgren makes 2-pt dunk from 6 ft (assist by J. Williams),82-75, ,,3,75,82,-7,1723.0
7:17.0,Shooting foul by J. Jaquez (drawn by C. Holmgren),82-75, ,,3,75,82,-7,1723.0
7:17.0,C. Holmgren misses free throw 1 of 1,82-75, ,,3,75,82,-7,1723.0
7:14.0, ,82-75,Defensive rebound by B. Adebayo,,3,75,82,-7,1726.0
7:05.0, ,82-75,Shooting foul by J. Williams (drawn by B. Adebayo),,3,75,82,-7,1735.0
7:05.0, ,82-76,B. Adebayo makes free throw 1 of 2,,3,76,82,-6,1735.0
7:05.0, ,82-77,B. Adebayo makes free throw 2 of 2,,3,77,82,-5,1735.0
6:52.0,Turnover by J. Giddey (bad pass; steal by T. Herro),82-77, ,,3,77,82,-5,1748.0
6:45.0, ,82-77,J. Jaquez misses 2-pt layup from 4 ft (block by C. Holmgren),,3,77,82,-5,1755.0
6:41.0,Defensive rebound by J. Williams,82-77, ,,3,77,82,-5,1759.0
6:33.0,J. Giddey makes 2-pt jump shot from 10 ft,84-77, ,,3,77,84,-7,1767.0
6:23.0, ,84-77,Shooting foul by C. Holmgren (drawn by B. Adebayo),,3,77,84,-7,1777.0
6:23.0, ,84-78,B. Adebayo makes free throw 1 of 2,,3,78,84,-6,1777.0
6:23.0, ,84-79,B. Adebayo makes free throw 2 of 2,,3,79,84,-5,1777.0
6:09.0,J. Williams makes 2-pt jump shot from 16 ft (assist by S. Gilgeous-Alexander),86-79, ,,3,79,86,-7,1791.0
5:52.0, ,86-82,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,3,82,86,-4,1808.0
5:34.0,J. Williams misses 2-pt jump shot from 9 ft,86-82, ,,3,82,86,-4,1826.0
5:30.0, ,86-82,Defensive rebound by J. Jaquez,,3,82,86,-4,1830.0
5:28.0, ,86-82,T. Herro misses 3-pt jump shot from 26 ft,,3,82,86,-4,1832.0
5:24.0, ,86-82,Offensive rebound by H. Highsmith,,3,82,86,-4,1836.0
5:23.0, ,86-82,H. Highsmith misses 2-pt layup from 4 ft,,3,82,86,-4,1837.0
5:21.0,Defensive rebound by S. Gilgeous-Alexander,86-82, ,,3,82,86,-4,1839.0
5:20.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Herro),86-82, ,,3,82,86,-4,1840.0
5:12.0, ,86-82,Turnover by B. Adebayo (lost ball; steal by J. Williams),,3,82,86,-4,1848.0
5:02.0,J. Giddey misses 3-pt jump shot from 25 ft,86-82, ,,3,82,86,-4,1858.0
4:59.0,Offensive rebound by J. Williams,86-82, ,,3,82,86,-4,1861.0
4:58.0,C. Holmgren misses 3-pt jump shot from 27 ft,86-82, ,,3,82,86,-4,1862.0
4:54.0, ,86-82,Defensive rebound by N. Jović,,3,82,86,-4,1866.0
4:52.0, ,86-85,J. Jaquez makes 3-pt jump shot from 26 ft (assist by N. Jović),,3,85,86,-1,1868.0
4:51.0,Oklahoma City full timeout,86-85, ,,3,85,86,-1,1869.0
4:51.0,L. Dort enters the game for J. Giddey,86-85, ,,3,85,86,-1,1869.0
4:51.0,I. Joe enters the game for C. Holmgren,86-85, ,,3,85,86,-1,1869.0
4:51.0,A. Wiggins enters the game for C. Wallace,86-85, ,,3,85,86,-1,1869.0
4:51.0,J. Williams enters the game for J. Williams,86-85, ,,3,85,86,-1,1869.0
4:51.0, ,86-85,K. Love enters the game for B. Adebayo,,3,85,86,-1,1869.0
4:51.0, ,86-85,J. Richardson enters the game for J. Jaquez,,3,85,86,-1,1869.0
4:27.0,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft,86-85, ,,3,85,86,-1,1893.0
4:26.0,Offensive rebound by Team,86-85, ,,3,85,86,-1,1894.0
4:26.0,Turnover by Team (shot clock),86-85, ,,3,85,86,-1,1894.0
4:14.0, ,86-85,Turnover by K. Love (bad pass),,3,85,86,-1,1906.0
3:57.0,A. Wiggins misses 2-pt layup from 4 ft,86-85, ,,3,85,86,-1,1923.0
3:54.0, ,86-85,Defensive rebound by K. Love,,3,85,86,-1,1926.0
3:46.0, ,86-87,T. Herro makes 2-pt jump shot from 7 ft,Lead change,3,87,86,1,1934.0
3:26.0,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft (assist by J. Williams),88-87, ,Lead change,3,87,88,-1,1954.0
3:18.0, ,88-87,Personal foul by I. Joe (drawn by J. Richardson),,3,87,88,-1,1962.0
3:10.0, ,88-87,T. Herro misses 2-pt jump shot from 9 ft,,3,87,88,-1,1970.0
3:09.0, ,88-87,Offensive rebound by Team,,3,87,88,-1,1971.0
3:08.0, ,88-87,Personal foul by J. Williams (drawn by K. Love),,3,87,88,-1,1972.0
2:59.0, ,88-87,N. Jović misses 3-pt jump shot from 25 ft,,3,87,88,-1,1981.0
2:55.0,Defensive rebound by J. Williams,88-87, ,,3,87,88,-1,1985.0
2:47.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,88-87, ,,3,87,88,-1,1993.0
2:45.0, ,88-87,Defensive rebound by N. Jović,,3,87,88,-1,1995.0
2:37.0, ,88-87,T. Herro misses 2-pt jump shot from 13 ft,,3,87,88,-1,2003.0
2:37.0, ,88-87,Offensive rebound by Team,,3,87,88,-1,2003.0
