Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
3:54.0,Miami full timeout,27-25, ,,1,27,25,2,486.0
3:43.0,Turnover by T. Herro (lost ball; steal by P. Williams),27-25, ,,1,27,25,2,497.0
3:28.0, ,27-25,P. Williams misses 2-pt jump shot from 8 ft,,1,27,25,2,512.0
3:24.0, ,27-25,Offensive rebound by N. Vučević,,1,27,25,2,516.0
3:24.0, ,27-27,N. Vučević makes 2-pt layup at rim,Tie,1,27,27,0,516.0
3:14.0,D. Dedmon misses 3-pt jump shot from 26 ft,27-27, ,,1,27,27,0,526.0
3:11.0, ,27-27,Defensive rebound by P. Williams,,1,27,27,0,529.0
2:59.0, ,27-27,Z. LaVine misses 3-pt jump shot from 24 ft,,1,27,27,0,541.0
2:56.0, ,27-27,Offensive rebound by Z. LaVine,,1,27,27,0,544.0
2:51.0, ,27-27,Z. LaVine misses 2-pt layup from 3 ft,,1,27,27,0,549.0
2:49.0,Defensive rebound by D. Dedmon,27-27, ,,1,27,27,0,551.0
2:39.0,K. Lowry misses 2-pt jump shot from 9 ft,27-27, ,,1,27,27,0,561.0
2:37.0, ,27-27,Defensive rebound by A. Dosunmu,,1,27,27,0,563.0
2:33.0, ,27-27,C. White misses 3-pt jump shot from 24 ft,,1,27,27,0,567.0
2:29.0, ,27-27,Offensive rebound by C. White,,1,27,27,0,571.0
2:26.0, ,27-30,A. Dosunmu makes 3-pt jump shot from 22 ft (assist by C. White),Lead change,1,27,30,-3,574.0
2:01.0,K. Lowry misses 2-pt jump shot from 21 ft,27-30, ,,1,27,30,-3,599.0
1:59.0, ,27-30,Defensive rebound by Team,,1,27,30,-3,601.0
1:59.0,J. Butler enters the game for K. Lowry,27-30, ,,1,27,30,-3,601.0
1:59.0,D. Robinson enters the game for M. Strus,27-30, ,,1,27,30,-3,601.0
1:59.0,G. Vincent enters the game for P. Tucker,27-30, ,,1,27,30,-3,601.0
1:59.0, ,27-30,A. Caruso enters the game for A. Dosunmu,,1,27,30,-3,601.0
1:59.0, ,27-30,D. DeRozan enters the game for Z. LaVine,,1,27,30,-3,601.0
1:59.0, ,27-30,T. Thompson enters the game for N. Vučević,,1,27,30,-3,601.0
1:48.0, ,27-30,D. DeRozan misses 2-pt jump shot from 13 ft,,1,27,30,-3,612.0
1:46.0,Defensive rebound by T. Herro,27-30, ,,1,27,30,-3,614.0
1:33.0,J. Butler makes 2-pt layup from 1 ft,29-30, ,,1,29,30,-1,627.0
1:12.0, ,29-30,D. DeRozan misses 2-pt jump shot from 20 ft,,1,29,30,-1,648.0
1:10.0,Defensive rebound by T. Herro,29-30, ,,1,29,30,-1,650.0
1:04.0,Personal foul by D. DeRozan (drawn by T. Herro),29-30, ,,1,29,30,-1,656.0
0:55.0,T. Herro misses 2-pt layup from 1 ft (block by T. Thompson),29-30, ,,1,29,30,-1,665.0
0:53.0,Offensive rebound by D. Dedmon,29-30, ,,1,29,30,-1,667.0
0:53.0,D. Dedmon makes 2-pt layup at rim,31-30, ,Lead change,1,31,30,1,667.0
0:32.0, ,31-30,C. White misses 3-pt jump shot from 26 ft,,1,31,30,1,688.0
0:30.0,Defensive rebound by Team,31-30, ,,1,31,30,1,690.0
0:20.0,Turnover by J. Butler (out of bounds lost ball),31-30, ,,1,31,30,1,700.0
0:04.0, ,31-30,C. White misses 3-pt jump shot from 25 ft,,1,31,30,1,716.0
0:04.0,Defensive rebound by J. Butler,31-30, ,,1,31,30,1,716.0
0:00.0,J. Butler misses 3-pt jump shot from 71 ft,31-30, ,,1,31,30,1,720.0
0:00.0,Offensive rebound by Team,31-30, ,,1,31,30,1,720.0
0:00.0,End of 1st quarter,31-30,,,1,31,30,1,720.0
12:00.0,Start of 2nd quarter,31-30,,,2,31,30,1,720.0
11:46.0, ,31-30,D. DeRozan misses 2-pt jump shot from 18 ft,,2,31,30,1,734.0
11:40.0,Defensive rebound by J. Butler,31-30, ,,2,31,30,1,740.0
11:37.0,Personal foul by A. Caruso (drawn by B. Adebayo),31-30, ,,2,31,30,1,743.0
11:24.0,B. Adebayo misses 2-pt jump shot from 6 ft,31-30, ,,2,31,30,1,756.0
11:22.0, ,31-30,Defensive rebound by T. Thompson,,2,31,30,1,758.0
11:13.0, ,31-30,D. DeRozan misses 3-pt jump shot from 23 ft,,2,31,30,1,767.0
11:09.0,Defensive rebound by B. Adebayo,31-30, ,,2,31,30,1,771.0
10:50.0,T. Herro makes 3-pt jump shot from 24 ft (assist by J. Butler),34-30, ,,2,34,30,4,790.0
10:28.0, ,34-32,D. DeRozan makes 2-pt jump shot from 13 ft (assist by A. Caruso),,2,34,32,2,812.0
10:12.0,T. Herro makes 3-pt jump shot from 29 ft (assist by B. Adebayo),37-32, ,,2,37,32,5,828.0
9:43.0, ,37-32,D. DeRozan misses 2-pt jump shot from 17 ft,,2,37,32,5,857.0
9:40.0, ,37-32,Offensive rebound by T. Thompson,,2,37,32,5,860.0
9:40.0, ,37-34,T. Thompson makes 2-pt layup at rim,,2,37,34,3,860.0
9:28.0,T. Herro makes 3-pt jump shot from 26 ft (assist by G. Vincent),40-34, ,,2,40,34,6,872.0
9:11.0, ,40-34,Personal foul by D. Robinson (drawn by D. DeRozan),,2,40,34,6,889.0
9:09.0, ,40-34,Shooting foul by J. Butler (drawn by D. DeRozan),,2,40,34,6,891.0
9:09.0, ,40-35,D. DeRozan makes free throw 1 of 2,,2,40,35,5,891.0
9:09.0, ,40-36,D. DeRozan makes free throw 2 of 2,,2,40,36,4,891.0
8:54.0,J. Butler makes 2-pt jump shot from 15 ft,42-36, ,,2,42,36,6,906.0
8:54.0,Shooting foul by C. White (drawn by J. Butler),42-36, ,,2,42,36,6,906.0
8:54.0,J. Butler makes free throw 1 of 1,43-36, ,,2,43,36,7,906.0
8:30.0, ,43-39,P. Williams makes 3-pt jump shot from 24 ft (assist by A. Caruso),,2,43,39,4,930.0
8:16.0,D. Robinson misses 3-pt jump shot from 23 ft,43-39, ,,2,43,39,4,944.0
8:14.0, ,43-39,Defensive rebound by P. Williams,,2,43,39,4,946.0
8:03.0, ,43-39,C. White misses 3-pt jump shot from 26 ft,,2,43,39,4,957.0
8:01.0,Defensive rebound by B. Adebayo,43-39, ,,2,43,39,4,959.0
7:55.0,Personal foul by C. White (drawn by J. Butler),43-39, ,,2,43,39,4,965.0
7:55.0, ,43-39,A. Dosunmu enters the game for A. Caruso,,2,43,39,4,965.0
7:55.0, ,43-39,Z. LaVine enters the game for D. DeRozan,,2,43,39,4,965.0
7:38.0,J. Butler makes 2-pt jump shot from 7 ft,45-39, ,,2,45,39,6,982.0
7:38.0, ,45-39,Chicago full timeout,,2,45,39,6,982.0
7:26.0, ,45-39,Shooting foul by D. Robinson (drawn by P. Williams),,2,45,39,6,994.0
7:26.0, ,45-40,P. Williams makes free throw 1 of 2,,2,45,40,5,994.0
7:26.0, ,45-41,P. Williams makes free throw 2 of 2,,2,45,41,4,994.0
7:04.0,J. Butler makes 2-pt jump shot from 11 ft,47-41, ,,2,47,41,6,1016.0
6:41.0, ,47-43,Z. LaVine makes 2-pt layup from 1 ft,,2,47,43,4,1039.0
6:27.0,T. Herro misses 2-pt jump shot from 13 ft,47-43, ,,2,47,43,4,1053.0
6:25.0,Offensive rebound by J. Butler,47-43, ,,2,47,43,4,1055.0
6:25.0,J. Butler misses 2-pt layup at rim,47-43, ,,2,47,43,4,1055.0
6:25.0,Shooting foul by T. Thompson (drawn by J. Butler),47-43, ,,2,47,43,4,1055.0
6:25.0,J. Butler makes free throw 1 of 2,48-43, ,,2,48,43,5,1055.0
6:25.0, ,48-43,D. DeRozan enters the game for T. Thompson,,2,48,43,5,1055.0
6:25.0, ,48-43,N. Vučević enters the game for C. White,,2,48,43,5,1055.0
6:25.0,J. Butler makes free throw 2 of 2,49-43, ,,2,49,43,6,1055.0
6:12.0, ,49-43,Z. LaVine misses 2-pt jump shot from 16 ft,,2,49,43,6,1068.0
6:09.0,Defensive rebound by B. Adebayo,49-43, ,,2,49,43,6,1071.0
5:48.0,T. Herro misses 2-pt jump shot from 20 ft,49-43, ,,2,49,43,6,1092.0
5:46.0, ,49-43,Defensive rebound by N. Vučević,,2,49,43,6,1094.0
5:36.0, ,49-43,D. DeRozan misses 2-pt jump shot from 14 ft,,2,49,43,6,1104.0
5:34.0,Defensive rebound by G. Vincent,49-43, ,,2,49,43,6,1106.0
5:34.0,K. Lowry enters the game for G. Vincent,49-43, ,,2,49,43,6,1106.0
5:34.0, ,49-43,J. Green enters the game for P. Williams,,2,49,43,6,1106.0
5:15.0,B. Adebayo makes 2-pt jump shot from 16 ft (assist by T. Herro),51-43, ,,2,51,43,8,1125.0
4:51.0, ,51-43,D. DeRozan misses 2-pt jump shot from 14 ft,,2,51,43,8,1149.0
4:51.0, ,51-43,Offensive rebound by Team,,2,51,43,8,1149.0
4:51.0,Loose ball foul by K. Lowry (drawn by J. Green),51-43, ,,2,51,43,8,1149.0
4:51.0,M. Strus enters the game for J. Butler,51-43, ,,2,51,43,8,1149.0
4:51.0,P. Tucker enters the game for D. Robinson,51-43, ,,2,51,43,8,1149.0
4:37.0, ,51-43,Z. LaVine misses 3-pt jump shot from 27 ft,,2,51,43,8,1163.0
4:37.0, ,51-43,Offensive rebound by Team,,2,51,43,8,1163.0
4:37.0, ,51-43,Turnover by Team (shot clock),,2,51,43,8,1163.0
4:29.0,Personal foul by Z. LaVine (drawn by P. Tucker),51-43, ,,2,51,43,8,1171.0
4:29.0, ,51-43,Chicago full timeout,,2,51,43,8,1171.0
4:29.0,P. Tucker makes free throw 1 of 2,52-43, ,,2,52,43,9,1171.0
4:29.0,P. Tucker makes free throw 2 of 2,53-43, ,,2,53,43,10,1171.0
4:11.0, ,53-43,J. Green misses 2-pt jump shot from 12 ft,,2,53,43,10,1189.0
4:08.0,Defensive rebound by P. Tucker,53-43, ,,2,53,43,10,1192.0
4:01.0,K. Lowry misses 3-pt jump shot from 30 ft,53-43, ,,2,53,43,10,1199.0
3:59.0, ,53-43,Defensive rebound by N. Vučević,,2,53,43,10,1201.0
3:49.0, ,53-43,Personal foul by P. Tucker (drawn by D. DeRozan),,2,53,43,10,1211.0
3:49.0, ,53-44,D. DeRozan makes free throw 1 of 2,,2,53,44,9,1211.0
3:49.0, ,53-45,D. DeRozan makes free throw 2 of 2,,2,53,45,8,1211.0
3:32.0,T. Herro misses 3-pt jump shot from 22 ft,53-45, ,,2,53,45,8,1228.0
3:29.0, ,53-45,Defensive rebound by N. Vučević,,2,53,45,8,1231.0
3:25.0, ,53-45,A. Dosunmu misses 3-pt jump shot from 23 ft,,2,53,45,8,1235.0
3:22.0, ,53-45,Offensive rebound by Z. LaVine,,2,53,45,8,1238.0
3:18.0, ,53-48,J. Green makes 3-pt jump shot from 25 ft (assist by N. Vučević),,2,53,48,5,1242.0
3:09.0,Personal foul by A. Dosunmu (drawn by B. Adebayo),53-48, ,,2,53,48,5,1251.0
3:09.0,B. Adebayo makes free throw 1 of 2,54-48, ,,2,54,48,6,1251.0
3:09.0, ,54-48,P. Williams enters the game for J. Green,,2,54,48,6,1251.0
3:09.0,B. Adebayo makes free throw 2 of 2,55-48, ,,2,55,48,7,1251.0
2:46.0, ,55-48,D. DeRozan misses 3-pt jump shot from 25 ft,,2,55,48,7,1274.0
2:43.0,Defensive rebound by P. Tucker,55-48, ,,2,55,48,7,1277.0
2:42.0,Offensive foul by B. Adebayo (drawn by D. DeRozan),55-48, ,,2,55,48,7,1278.0
2:42.0,Turnover by B. Adebayo (offensive foul),55-48, ,,2,55,48,7,1278.0
2:42.0,J. Butler enters the game for B. Adebayo,55-48, ,,2,55,48,7,1278.0
2:42.0,D. Dedmon enters the game for T. Herro,55-48, ,,2,55,48,7,1278.0
2:31.0, ,55-51,Z. LaVine makes 3-pt jump shot from 25 ft (assist by N. Vučević),,2,55,51,4,1289.0
2:14.0,M. Strus misses 2-pt layup from 3 ft,55-51, ,,2,55,51,4,1306.0
2:14.0,Offensive rebound by Team,55-51, ,,2,55,51,4,1306.0
2:14.0, ,55-51,Loose ball foul by P. Williams (drawn by D. Dedmon),,2,55,51,4,1306.0
2:14.0,D. Dedmon makes free throw 1 of 2,56-51, ,,2,56,51,5,1306.0
2:14.0,D. Dedmon misses free throw 2 of 2,56-51, ,,2,56,51,5,1306.0
2:12.0, ,56-51,Defensive rebound by N. Vučević,,2,56,51,5,1308.0
1:54.0, ,56-51,A. Dosunmu misses 3-pt jump shot from 22 ft,,2,56,51,5,1326.0
1:51.0,Defensive rebound by P. Tucker,56-51, ,,2,56,51,5,1329.0
1:38.0,M. Strus makes 3-pt jump shot from 25 ft (assist by K. Lowry),59-51, ,,2,59,51,8,1342.0
1:18.0, ,59-53,Z. LaVine makes 2-pt jump shot from 21 ft,,2,59,53,6,1362.0
1:00.0,D. Dedmon makes 2-pt layup from 5 ft (assist by K. Lowry),61-53, ,,2,61,53,8,1380.0
0:47.0, ,61-55,N. Vučević makes 2-pt jump shot from 9 ft (assist by Z. LaVine),,2,61,55,6,1393.0
0:37.0,Personal foul by A. Dosunmu (drawn by K. Lowry),61-55, ,,2,61,55,6,1403.0
0:37.0,K. Lowry makes free throw 1 of 2,62-55, ,,2,62,55,7,1403.0
0:37.0,K. Lowry makes free throw 2 of 2,63-55, ,,2,63,55,8,1403.0
0:29.0, ,63-57,A. Dosunmu makes 2-pt layup from 2 ft (assist by P. Williams),,2,63,57,6,1411.0
0:06.0,Flagrant foul type 1 by A. Dosunmu (drawn by K. Lowry),63-57, ,,2,63,57,6,1434.0
0:06.0,Instant Replay (Request: Ruling Stands),63-57, ,,2,63,57,6,1434.0
0:06.0,K. Lowry makes flagrant free throw 1 of 3,64-57, ,,2,64,57,7,1434.0
0:06.0,K. Lowry makes flagrant free throw 2 of 3,65-57, ,,2,65,57,8,1434.0
0:06.0,K. Lowry makes flagrant free throw 3 of 3,66-57, ,,2,66,57,9,1434.0
0:06.0, ,66-57,A. Caruso enters the game for A. Dosunmu,,2,66,57,9,1434.0
0:01.0,J. Butler misses 2-pt jump shot from 21 ft,66-57, ,,2,66,57,9,1439.0
0:00.0,Offensive rebound by Team,66-57, ,,2,66,57,9,1440.0
0:00.0,End of 2nd quarter,66-57,,,2,66,57,9,1440.0
12:00.0,Start of 3rd quarter,66-57,,,3,66,57,9,1440.0
11:48.0, ,66-59,D. DeRozan makes 2-pt jump shot from 10 ft,,3,66,59,7,1452.0
11:32.0,M. Strus misses 2-pt layup from 1 ft,66-59, ,,3,66,59,7,1468.0
11:31.0, ,66-59,Defensive rebound by N. Vučević,,3,66,59,7,1469.0
11:17.0, ,66-59,A. Dosunmu misses 2-pt jump shot from 17 ft,,3,66,59,7,1483.0
11:15.0,Defensive rebound by P. Tucker,66-59, ,,3,66,59,7,1485.0
11:06.0,K. Lowry makes 3-pt jump shot from 26 ft,69-59, ,,3,69,59,10,1494.0
10:49.0, ,69-59,N. Vučević misses 3-pt jump shot from 27 ft,,3,69,59,10,1511.0
10:46.0,Defensive rebound by B. Adebayo,69-59, ,,3,69,59,10,1514.0
10:42.0,K. Lowry misses 3-pt jump shot from 30 ft,69-59, ,,3,69,59,10,1518.0
10:38.0, ,69-59,Defensive rebound by N. Vučević,,3,69,59,10,1522.0
10:25.0, ,69-62,Z. LaVine makes 3-pt jump shot from 25 ft (assist by N. Vučević),,3,69,62,7,1535.0
9:56.0,J. Butler makes 3-pt jump shot from 27 ft (assist by B. Adebayo),72-62, ,,3,72,62,10,1564.0
9:30.0, ,72-62,D. DeRozan misses 2-pt jump shot from 11 ft,,3,72,62,10,1590.0
9:28.0,Defensive rebound by M. Strus,72-62, ,,3,72,62,10,1592.0
9:09.0,Turnover by K. Lowry (bad pass; steal by Z. LaVine),72-62, ,,3,72,62,10,1611.0
9:04.0, ,72-64,Z. LaVine makes 2-pt jump shot from 23 ft,,3,72,64,8,1616.0
8:43.0,Turnover by B. Adebayo (bad pass),72-64, ,,3,72,64,8,1637.0
8:43.0, ,72-64,P. Williams enters the game for A. Dosunmu,,3,72,64,8,1637.0
8:33.0, ,72-64,Shooting foul by M. Strus (drawn by D. DeRozan),,3,72,64,8,1647.0
8:33.0, ,72-65,D. DeRozan makes free throw 1 of 2,,3,72,65,7,1647.0
8:33.0, ,72-66,D. DeRozan makes free throw 2 of 2,,3,72,66,6,1647.0
8:16.0,J. Butler misses 2-pt jump shot from 19 ft,72-66, ,,3,72,66,6,1664.0
8:12.0, ,72-66,Defensive rebound by Z. LaVine,,3,72,66,6,1668.0
8:06.0, ,72-66,Turnover by P. Williams (lost ball; steal by M. Strus),,3,72,66,6,1674.0
8:01.0,M. Strus makes 2-pt layup from 4 ft,74-66, ,,3,74,66,8,1679.0
7:38.0, ,74-66,Turnover by A. Caruso (bad pass; steal by P. Tucker),,3,74,66,8,1702.0
7:34.0,M. Strus makes 2-pt dunk at rim (assist by J. Butler),76-66, ,,3,76,66,10,1706.0
7:25.0, ,76-68,N. Vučević makes 2-pt jump shot from 17 ft (assist by D. DeRozan),,3,76,68,8,1715.0
7:10.0,M. Strus misses 3-pt jump shot from 26 ft,76-68, ,,3,76,68,8,1730.0
7:08.0,Offensive rebound by Team,76-68, ,,3,76,68,8,1732.0
7:02.0,B. Adebayo makes 2-pt jump shot from 8 ft,78-68, ,,3,78,68,10,1738.0
6:44.0, ,78-68,Z. LaVine misses 3-pt jump shot from 24 ft,,3,78,68,10,1756.0
6:42.0,Defensive rebound by B. Adebayo,78-68, ,,3,78,68,10,1758.0
6:22.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by K. Lowry),80-68, ,,3,80,68,12,1778.0
6:22.0, ,80-68,Chicago full timeout,,3,80,68,12,1778.0
6:22.0, ,80-68,A. Dosunmu enters the game for A. Caruso,,3,80,68,12,1778.0
6:13.0, ,80-68,Shooting foul by M. Strus (drawn by D. DeRozan),,3,80,68,12,1787.0
6:13.0, ,80-69,D. DeRozan makes free throw 1 of 2,,3,80,69,11,1787.0
6:13.0, ,80-70,D. DeRozan makes free throw 2 of 2,,3,80,70,10,1787.0
6:01.0,Personal foul by Z. LaVine (drawn by B. Adebayo),80-70, ,,3,80,70,10,1799.0
5:53.0,B. Adebayo misses 2-pt jump shot from 18 ft,80-70, ,,3,80,70,10,1807.0
5:49.0, ,80-70,Defensive rebound by P. Williams,,3,80,70,10,1811.0
5:25.0, ,80-70,Z. LaVine misses 3-pt jump shot from 25 ft,,3,80,70,10,1835.0
5:22.0,Defensive rebound by P. Tucker,80-70, ,,3,80,70,10,1838.0
5:16.0,M. Strus makes 3-pt jump shot from 23 ft (assist by P. Tucker),83-70, ,,3,83,70,13,1844.0
4:56.0, ,83-72,P. Williams makes 2-pt layup from 6 ft (assist by Z. LaVine),,3,83,72,11,1864.0
4:42.0,B. Adebayo makes 2-pt jump shot from 12 ft,85-72, ,,3,85,72,13,1878.0
4:23.0, ,85-74,D. DeRozan makes 2-pt jump shot from 7 ft (assist by N. Vučević),,3,85,74,11,1897.0
4:23.0, ,85-74,Shooting foul by K. Lowry (drawn by D. DeRozan),,3,85,74,11,1897.0
4:23.0,T. Herro enters the game for J. Butler,85-74, ,,3,85,74,11,1897.0
4:23.0, ,85-75,D. DeRozan makes free throw 1 of 1,,3,85,75,10,1897.0
4:10.0,K. Lowry makes 2-pt jump shot from 12 ft,87-75, ,,3,87,75,12,1910.0
4:10.0, ,87-75,C. White enters the game for D. DeRozan,,3,87,75,12,1910.0
3:42.0, ,87-75,P. Williams misses 2-pt jump shot from 19 ft,,3,87,75,12,1938.0
3:41.0,Defensive rebound by T. Herro,87-75, ,,3,87,75,12,1939.0
3:32.0,Turnover by B. Adebayo (out of bounds lost ball),87-75, ,,3,87,75,12,1948.0
3:12.0, ,87-75,N. Vučević misses 2-pt hook shot from 5 ft,,3,87,75,12,1968.0
3:10.0,Defensive rebound by B. Adebayo,87-75, ,,3,87,75,12,1970.0
2:53.0,T. Herro misses 2-pt jump shot from 15 ft,87-75, ,,3,87,75,12,1987.0
2:49.0,Offensive rebound by P. Tucker,87-75, ,,3,87,75,12,1991.0
2:44.0,T. Herro makes 3-pt jump shot from 23 ft (assist by K. Lowry),90-75, ,,3,90,75,15,1996.0
2:32.0, ,90-77,N. Vučević makes 2-pt jump shot from 19 ft (assist by A. Dosunmu),,3,90,77,13,2008.0
2:32.0,Miami full timeout,90-77, ,,3,90,77,13,2008.0
2:32.0,D. Dedmon enters the game for B. Adebayo,90-77, ,,3,90,77,13,2008.0
2:32.0,D. Robinson enters the game for M. Strus,90-77, ,,3,90,77,13,2008.0
2:13.0,K. Lowry misses 3-pt jump shot from 24 ft,90-77, ,,3,90,77,13,2027.0
2:11.0, ,90-77,Defensive rebound by C. White,,3,90,77,13,2029.0
2:01.0, ,90-77,A. Dosunmu misses 3-pt jump shot from 23 ft,,3,90,77,13,2039.0
1:57.0,Defensive rebound by K. Lowry,90-77, ,,3,90,77,13,2043.0
1:53.0,T. Herro makes 3-pt jump shot from 27 ft (assist by K. Lowry),93-77, ,,3,93,77,16,2047.0
1:37.0, ,93-77,Z. LaVine misses 2-pt jump shot from 20 ft,,3,93,77,16,2063.0
1:34.0,Defensive rebound by T. Herro,93-77, ,,3,93,77,16,2066.0
1:33.0,Personal foul by C. White (drawn by K. Lowry),93-77, ,,3,93,77,16,2067.0
1:33.0, ,93-77,D. DeRozan enters the game for Z. LaVine,,3,93,77,16,2067.0
1:33.0, ,93-77,T. Thompson enters the game for N. Vučević,,3,93,77,16,2067.0
1:19.0,T. Herro misses 2-pt jump shot from 10 ft,93-77, ,,3,93,77,16,2081.0
1:18.0, ,93-77,Defensive rebound by P. Williams,,3,93,77,16,2082.0
1:16.0, ,93-79,A. Dosunmu makes 2-pt layup from 1 ft (assist by P. Williams),,3,93,79,14,2084.0
1:05.0,D. Dedmon makes 2-pt jump shot from 10 ft (assist by K. Lowry),95-79, ,,3,95,79,16,2095.0
