Time,Boston,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:58.0,D. White misses 3-pt jump shot from 27 ft,43-41, ,,2,43,41,2,902.0
8:56.0, ,43-41,Defensive rebound by Team,,2,43,41,2,904.0
8:45.0, ,43-41,T. Brown misses 3-pt jump shot from 23 ft,,2,43,41,2,915.0
8:43.0,Defensive rebound by S. Mykhailiuk,43-41, ,,2,43,41,2,917.0
8:39.0,S. Hauser misses 2-pt layup from 5 ft (block by E. Fournier),43-41, ,,2,43,41,2,921.0
8:38.0, ,43-41,Defensive rebound by J. Ivey,,2,43,41,2,922.0
8:31.0, ,43-43,J. Wiseman makes 2-pt jump shot from 5 ft (assist by E. Fournier),Tie,2,43,43,0,929.0
8:14.0,Shooting foul by M. Sasser (drawn by D. White),43-43, ,,2,43,43,0,946.0
8:14.0,D. White makes free throw 1 of 2,44-43, ,,2,44,43,1,946.0
8:14.0,O. Brissett enters the game for L. Kornet,44-43, ,,2,44,43,1,946.0
8:14.0,K. Porziņģis enters the game for P. Pritchard,44-43, ,,2,44,43,1,946.0
8:14.0,D. White makes free throw 2 of 2,45-43, ,,2,45,43,2,946.0
8:03.0, ,45-45,J. Ivey makes 2-pt jump shot from 5 ft,Tie,2,45,45,0,957.0
8:03.0, ,45-45,Shooting foul by D. White (drawn by J. Ivey),,2,45,45,0,957.0
8:03.0, ,45-46,J. Ivey makes free throw 1 of 1,Lead change,2,45,46,-1,957.0
7:47.0,D. White misses 2-pt layup from 2 ft,45-46, ,,2,45,46,-1,973.0
7:46.0, ,45-46,Defensive rebound by J. Ivey,,2,45,46,-1,974.0
7:34.0, ,45-46,Turnover by J. Ivey (bad pass; steal by S. Hauser),,2,45,46,-1,986.0
7:34.0, ,45-46,C. Cunningham enters the game for E. Fournier,,2,45,46,-1,986.0
7:30.0,Jump ball: K. Porziņģis vs. M. Sasser (S. Hauser gains possession),45-46,,,2,45,46,-1,990.0
7:26.0,S. Mykhailiuk makes 2-pt layup from 2 ft (assist by S. Hauser),47-46, ,Lead change,2,47,46,1,994.0
7:26.0, ,47-46,Violation by Team (def goaltending),,2,47,46,1,994.0
7:26.0,Shooting foul by T. Brown (drawn by S. Mykhailiuk),47-46, ,,2,47,46,1,994.0
7:26.0,S. Mykhailiuk makes free throw 1 of 1,48-46, ,,2,48,46,2,994.0
7:14.0, ,48-46,J. Ivey misses 3-pt jump shot from 28 ft (block by O. Brissett),,2,48,46,2,1006.0
7:13.0,Defensive rebound by S. Hauser,48-46, ,,2,48,46,2,1007.0
7:07.0,K. Porziņģis misses 3-pt jump shot from 28 ft,48-46, ,,2,48,46,2,1013.0
7:04.0, ,48-46,Defensive rebound by T. Brown,,2,48,46,2,1016.0
6:52.0, ,48-46,C. Cunningham misses 2-pt jump shot from 10 ft,,2,48,46,2,1028.0
6:49.0,Defensive rebound by K. Porziņģis,48-46, ,,2,48,46,2,1031.0
6:38.0,D. White makes 2-pt jump shot from 6 ft,50-46, ,,2,50,46,4,1042.0
6:38.0,Shooting foul by J. Ivey (drawn by D. White),50-46, ,,2,50,46,4,1042.0
6:38.0, ,50-46,Detroit full timeout,,2,50,46,4,1042.0
6:38.0,J. Brown enters the game for S. Hauser,50-46, ,,2,50,46,4,1042.0
6:38.0,D. White makes free throw 1 of 1,51-46, ,,2,51,46,5,1042.0
6:18.0, ,51-46,T. Brown misses 3-pt jump shot from 24 ft,,2,51,46,5,1062.0
6:17.0,Defensive rebound by O. Brissett,51-46, ,,2,51,46,5,1063.0
6:05.0,K. Porziņģis misses 3-pt jump shot from 26 ft,51-46, ,,2,51,46,5,1075.0
6:04.0, ,51-46,Defensive rebound by T. Brown,,2,51,46,5,1076.0
5:50.0, ,51-46,C. Cunningham misses 3-pt jump shot from 27 ft,,2,51,46,5,1090.0
5:49.0,Defensive rebound by Team,51-46, ,,2,51,46,5,1091.0
5:49.0, ,51-46,T. Evbuomwan enters the game for M. Sasser,,2,51,46,5,1091.0
5:34.0,J. Brown makes 2-pt jump shot from 12 ft (assist by S. Mykhailiuk),53-46, ,,2,53,46,7,1106.0
5:13.0, ,53-46,T. Brown misses 3-pt jump shot from 24 ft,,2,53,46,7,1127.0
5:10.0,Defensive rebound by D. White,53-46, ,,2,53,46,7,1130.0
5:06.0,K. Porziņģis misses 2-pt layup from 4 ft,53-46, ,,2,53,46,7,1134.0
5:05.0, ,53-46,Defensive rebound by J. Wiseman,,2,53,46,7,1135.0
4:55.0, ,53-46,Offensive foul by J. Ivey (drawn by K. Porziņģis),,2,53,46,7,1145.0
4:55.0, ,53-46,Turnover by J. Ivey (offensive foul),,2,53,46,7,1145.0
4:55.0,Boston full timeout,53-46, ,,2,53,46,7,1145.0
4:55.0,Instant Replay (Challenge: Ruling Stands),53-46, ,,2,53,46,7,1145.0
4:55.0,S. Hauser enters the game for O. Brissett,53-46, ,,2,53,46,7,1145.0
4:55.0,P. Pritchard enters the game for S. Mykhailiuk,53-46, ,,2,53,46,7,1145.0
4:35.0,Turnover by P. Pritchard (bad pass),53-46, ,,2,53,46,7,1165.0
4:35.0, ,53-46,E. Fournier enters the game for T. Brown,,2,53,46,7,1165.0
4:19.0, ,53-46,J. Ivey misses 3-pt jump shot from 24 ft,,2,53,46,7,1181.0
4:18.0,Defensive rebound by S. Hauser,53-46, ,,2,53,46,7,1182.0
3:58.0,J. Brown makes 2-pt jump shot from 4 ft,55-46, ,,2,55,46,9,1202.0
3:51.0, ,55-46,C. Cunningham misses 3-pt jump shot from 27 ft,,2,55,46,9,1209.0
3:50.0,Defensive rebound by D. White,55-46, ,,2,55,46,9,1210.0
3:43.0,Shooting foul by E. Fournier (drawn by J. Brown),55-46, ,,2,55,46,9,1217.0
3:43.0,J. Brown misses free throw 1 of 2,55-46, ,,2,55,46,9,1217.0
3:43.0,Offensive rebound by Team,55-46, ,,2,55,46,9,1217.0
3:43.0, ,55-46,C. Metu enters the game for T. Evbuomwan,,2,55,46,9,1217.0
3:43.0, ,55-46,M. Sasser enters the game for J. Ivey,,2,55,46,9,1217.0
3:43.0,J. Brown misses free throw 2 of 2,55-46, ,,2,55,46,9,1217.0
3:41.0,Offensive rebound by D. White,55-46, ,,2,55,46,9,1219.0
3:37.0,P. Pritchard misses 3-pt jump shot from 27 ft,55-46, ,,2,55,46,9,1223.0
3:36.0, ,55-46,Defensive rebound by C. Cunningham,,2,55,46,9,1224.0
3:34.0, ,55-46,Personal foul by K. Porziņģis (drawn by C. Cunningham),,2,55,46,9,1226.0
3:18.0, ,55-46,C. Cunningham misses 2-pt layup from 3 ft,,2,55,46,9,1242.0
3:17.0, ,55-46,Offensive rebound by J. Wiseman,,2,55,46,9,1243.0
3:16.0, ,55-48,J. Wiseman makes 2-pt layup at rim,,2,55,48,7,1244.0
3:05.0,D. White misses 3-pt jump shot from 23 ft,55-48, ,,2,55,48,7,1255.0
3:05.0, ,55-48,Defensive rebound by C. Cunningham,,2,55,48,7,1255.0
2:53.0, ,55-48,M. Sasser misses 3-pt jump shot from 27 ft,,2,55,48,7,1267.0
2:50.0,Defensive rebound by J. Brown,55-48, ,,2,55,48,7,1270.0
2:47.0,S. Hauser makes 3-pt jump shot from 24 ft (assist by P. Pritchard),58-48, ,,2,58,48,10,1273.0
2:33.0, ,58-48,Turnover by C. Cunningham (bad pass; steal by J. Brown),,2,58,48,10,1287.0
2:28.0,J. Brown makes 2-pt layup from 3 ft (assist by D. White),60-48, ,,2,60,48,12,1292.0
2:02.0, ,60-51,C. Cunningham makes 3-pt jump shot from 24 ft,,2,60,51,9,1318.0
1:42.0,Shooting foul by C. Metu (drawn by K. Porziņģis),60-51, ,,2,60,51,9,1338.0
1:42.0,K. Porziņģis makes free throw 1 of 2,61-51, ,,2,61,51,10,1338.0
1:42.0,O. Brissett enters the game for J. Brown,61-51, ,,2,61,51,10,1338.0
1:42.0, ,61-51,T. Evbuomwan enters the game for C. Metu,,2,61,51,10,1338.0
1:42.0,K. Porziņģis misses free throw 2 of 2,61-51, ,,2,61,51,10,1338.0
1:38.0, ,61-51,Defensive rebound by T. Evbuomwan,,2,61,51,10,1342.0
1:25.0, ,61-51,E. Fournier misses 3-pt jump shot from 24 ft,,2,61,51,10,1355.0
1:24.0,Defensive rebound by O. Brissett,61-51, ,,2,61,51,10,1356.0
1:16.0,O. Brissett makes 3-pt jump shot from 26 ft (assist by P. Pritchard),64-51, ,,2,64,51,13,1364.0
1:01.0, ,64-51,Turnover by E. Fournier (lost ball; steal by K. Porziņģis),,2,64,51,13,1379.0
0:56.0,Shooting foul by T. Evbuomwan (drawn by D. White),64-51, ,,2,64,51,13,1384.0
0:56.0,D. White makes free throw 1 of 2,65-51, ,,2,65,51,14,1384.0
0:56.0,D. White makes free throw 2 of 2,66-51, ,,2,66,51,15,1384.0
0:46.0, ,66-51,Turnover by C. Cunningham (bad pass; steal by K. Porziņģis),,2,66,51,15,1394.0
0:41.0,P. Pritchard makes 3-pt jump shot from 23 ft (assist by D. White),69-51, ,,2,69,51,18,1399.0
0:31.0, ,69-51,M. Sasser misses 3-pt jump shot from 26 ft,,2,69,51,18,1409.0
0:29.0, ,69-51,Offensive rebound by Team,,2,69,51,18,1411.0
0:29.0,Loose ball foul by K. Porziņģis (drawn by J. Wiseman),69-51, ,,2,69,51,18,1411.0
0:29.0,J. Brown enters the game for K. Porziņģis,69-51, ,,2,69,51,18,1411.0
0:29.0,Violation by Team (delay of game),69-51, ,,2,69,51,18,1411.0
0:19.0, ,69-53,J. Wiseman makes 2-pt jump shot from 6 ft (assist by C. Cunningham),,2,69,53,16,1421.0
0:02.0,S. Hauser misses 3-pt jump shot from 24 ft,69-53, ,,2,69,53,16,1438.0
0:02.0,Offensive rebound by Team,69-53, ,,2,69,53,16,1438.0
0:00.0,End of 2nd quarter,69-53,,,2,69,53,16,1440.0
12:00.0,Start of 3rd quarter,69-53,,,3,69,53,16,1440.0
11:43.0,J. Brown misses 3-pt jump shot from 27 ft,69-53, ,,3,69,53,16,1457.0
11:42.0, ,69-53,Defensive rebound by J. Ivey,,3,69,53,16,1458.0
11:25.0, ,69-55,J. Ivey makes 2-pt jump shot from 8 ft (assist by T. Brown),,3,69,55,14,1475.0
11:09.0,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by D. White),72-55, ,,3,72,55,17,1491.0
10:51.0, ,72-55,Turnover by J. Wiseman (traveling),,3,72,55,17,1509.0
10:29.0,J. Brown makes 2-pt layup from 3 ft (assist by D. White),74-55, ,,3,74,55,19,1531.0
10:16.0, ,74-55,T. Evbuomwan misses 3-pt jump shot from 24 ft,,3,74,55,19,1544.0
10:15.0,Defensive rebound by P. Pritchard,74-55, ,,3,74,55,19,1545.0
10:10.0,P. Pritchard makes 2-pt layup from 3 ft,76-55, ,,3,76,55,21,1550.0
9:59.0, ,76-55,J. Ivey misses 3-pt jump shot from 24 ft,,3,76,55,21,1561.0
9:57.0,Defensive rebound by Team,76-55, ,,3,76,55,21,1563.0
9:49.0,K. Porziņģis misses 3-pt jump shot from 27 ft,76-55, ,,3,76,55,21,1571.0
9:48.0, ,76-55,Defensive rebound by T. Evbuomwan,,3,76,55,21,1572.0
9:47.0, ,76-55,Personal foul by O. Brissett (drawn by T. Evbuomwan),,3,76,55,21,1573.0
9:35.0, ,76-57,J. Ivey makes 2-pt jump shot from 8 ft (assist by J. Wiseman),,3,76,57,19,1585.0
9:20.0,Shooting foul by C. Cunningham (drawn by D. White),76-57, ,,3,76,57,19,1600.0
9:20.0,D. White makes free throw 1 of 2,77-57, ,,3,77,57,20,1600.0
9:20.0,D. White makes free throw 2 of 2,78-57, ,,3,78,57,21,1600.0
9:09.0, ,78-57,T. Brown misses 3-pt jump shot from 26 ft,,3,78,57,21,1611.0
9:08.0,Defensive rebound by D. White,78-57, ,,3,78,57,21,1612.0
8:58.0,K. Porziņģis misses 2-pt jump shot from 7 ft,78-57, ,,3,78,57,21,1622.0
8:56.0, ,78-57,Defensive rebound by T. Evbuomwan,,3,78,57,21,1624.0
8:50.0, ,78-60,J. Ivey makes 3-pt jump shot from 26 ft (assist by T. Brown),,3,78,60,18,1630.0
8:26.0,O. Brissett makes 2-pt dunk from 3 ft (assist by D. White),80-60, ,,3,80,60,20,1654.0
8:12.0, ,80-62,C. Cunningham makes 2-pt jump shot from 15 ft,,3,80,62,18,1668.0
7:56.0,P. Pritchard makes 2-pt layup from 3 ft (assist by D. White),82-62, ,,3,82,62,20,1684.0
7:46.0, ,82-62,J. Ivey misses 2-pt layup from 3 ft,,3,82,62,20,1694.0
7:45.0, ,82-62,Offensive rebound by J. Wiseman,,3,82,62,20,1695.0
7:44.0, ,82-64,J. Wiseman makes 2-pt dunk from 1 ft,,3,82,64,18,1696.0
7:31.0,J. Brown makes 3-pt jump shot from 27 ft (assist by D. White),85-64, ,,3,85,64,21,1709.0
7:31.0, ,85-64,Detroit full timeout,,3,85,64,21,1709.0
7:31.0, ,85-64,E. Fournier enters the game for T. Brown,,3,85,64,21,1709.0
7:16.0, ,85-64,Shooting foul by K. Porziņģis (drawn by J. Wiseman),,3,85,64,21,1724.0
7:16.0, ,85-64,J. Wiseman misses free throw 1 of 2,,3,85,64,21,1724.0
7:16.0, ,85-64,Offensive rebound by Team,,3,85,64,21,1724.0
7:16.0, ,85-64,J. Wiseman misses free throw 2 of 2,,3,85,64,21,1724.0
7:14.0,Defensive rebound by K. Porziņģis,85-64, ,,3,85,64,21,1726.0
6:58.0,D. White misses 3-pt jump shot from 27 ft,85-64, ,,3,85,64,21,1742.0
6:57.0, ,85-64,Defensive rebound by J. Wiseman,,3,85,64,21,1743.0
6:46.0, ,85-64,C. Cunningham misses 2-pt jump shot from 17 ft,,3,85,64,21,1754.0
6:45.0,Defensive rebound by J. Brown,85-64, ,,3,85,64,21,1755.0
6:36.0,J. Brown makes 3-pt jump shot from 28 ft,88-64, ,,3,88,64,24,1764.0
6:28.0, ,88-64,Offensive foul by C. Cunningham (drawn by D. White),,3,88,64,24,1772.0
6:28.0, ,88-64,Turnover by C. Cunningham (offensive foul),,3,88,64,24,1772.0
6:28.0,S. Hauser enters the game for D. White,88-64, ,,3,88,64,24,1772.0
6:12.0,K. Porziņģis misses 2-pt layup from 6 ft,88-64, ,,3,88,64,24,1788.0
6:11.0,Offensive rebound by K. Porziņģis,88-64, ,,3,88,64,24,1789.0
6:10.0,K. Porziņģis makes 2-pt layup at rim,90-64, ,,3,90,64,26,1790.0
6:00.0, ,90-64,T. Evbuomwan misses 3-pt jump shot from 24 ft,,3,90,64,26,1800.0
5:59.0,Defensive rebound by S. Hauser,90-64, ,,3,90,64,26,1801.0
5:51.0,Turnover by J. Brown (lost ball; steal by C. Cunningham),90-64, ,,3,90,64,26,1809.0
5:46.0, ,90-66,C. Cunningham makes 2-pt dunk from 3 ft,,3,90,66,24,1814.0
5:30.0,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by P. Pritchard),92-66, ,,3,92,66,26,1830.0
5:15.0, ,92-69,T. Evbuomwan makes 3-pt jump shot from 23 ft (assist by C. Cunningham),,3,92,69,23,1845.0
4:58.0,J. Brown misses 3-pt jump shot from 32 ft,92-69, ,,3,92,69,23,1862.0
4:57.0,Offensive rebound by Team,92-69, ,,3,92,69,23,1863.0
4:57.0, ,92-69,Loose ball foul by J. Wiseman (drawn by J. Brown),,3,92,69,23,1863.0
4:57.0,L. Kornet enters the game for K. Porziņģis,92-69, ,,3,92,69,23,1863.0
4:57.0, ,92-69,C. Metu enters the game for J. Wiseman,,3,92,69,23,1863.0
